Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Amazing,329 people found this helpful,Westmark Consulting,-,5,2020-09-18T17:59:17,I own over 50 computers and it blows away my 11th gen Dell XPS 13 i7  My surface Book 3  my Ryzen 7 Thinkpad. the first week I got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. I felt guilty and charged it. The Geekbench 5 rating beat all those listed laptops and they had 16 or 32GB of memory and the MacBook Pro M1 had only 8GB of unified memory. The keyboard felt great  the sound was superb  the screen bright  and it was blazing fast in all I did. I m an IT consultant and deal in Windows based databases and this Mac has now become my daily go to system at home. It has become my new front end.
I love my Mac,243 people found this helpful,Ancestor Hunter,-,5,2020-09-25T15:59:17,It s a Mac once you go Mac you never go back. This is my second Mac my first lasted almost 9 years.
Good  but expensive,227 people found this helpful,Targaryen,-,2,2020-05-22T11:59:17,Everyone says the new Apple Macbook with an M-1 chip is wonderful. However  I would say something different.For the Macbook pro with an M1 chip  I spent almost twice the price but got the same performance as MacBook air. The only 2 differences are the fan and the touch bar(it s useless).Secondly  would be quality. Once a time I put on the interface  the MacBook turns off itself. I don t know what happened but I m pretty sure this kind of problem should not happen in a computer at such a price.Also  I miss the MagSafe...
Hmmm...,203 people found this helpful,Me2,-,1,2020-07-02T17:54:17,Dead at arrival.... kernel error. Took it to the Apple store they told me looks like a hardware failure and to send it back to Amazon.
Everything I Expected-Except 1 Thing,221 people found this helpful,Kurt Luce,-,5,2020-09-17T17:59:17,I m going to preface this review with the 1 thing I dislike so we can get that out of the way.I mean let s be honest  that s what most people are looking for when buying a product-the down sides.It has a standard 3.5mm headphone jack EVEN THOUGH apple quit using that on it s handheld products years ago.Not that I care  it s good that they include the 3.5mm jack-but how come they didn t include one for their lightning connector that their headphones come in out of the box? Forces you to either change to a standard headphone jack or BT headphones (probably trying to push their AirPods line).Other than that  I have no issues. It s fast  efficient  reliable and easy to use. If your familiar with iOS on these then it ll be a great addition to the tech team you have at home.
MacBook Pro 2020 so sleek  lightweight and FAST!!! LOVE IT!💜,66 people found this helpful,Judy N,https://images-na.ssl-images-amazon.com/images/I/C1S27tmsQlS._SY300.jpg,5,2020-07-23T17:59:17,I love my new MacBook Pro!! It s the 13” and not too small. It s very lightweight! It s so fast! I was using an older MacBook Pro from mid 2012. It worked well  just so slow. This one flies!! I was disappointed that there are no USB ports or CD player. I spent about $65 at Best Buy and got an adapter that works very well!!!
Regret Going M1,38 people found this helpful,Steve,-,1,2020-04-23T14:12:17,The battery lasts forever and its fast. My last macbook had a pretty good battery and worked very well for years too.The M1 does allow for dual external monitors and there are two usbc ports total. These two things can be worked around with dongles and a video hub but now I have $200 worth of accessories and a tangled mess on my desk.How is a 2020 Mac not compatible with dual monitors but my 2005 HP works great with the same monitor setup?!? I really can t get past that.Get the intel version with 4 USB ports and you can use it in your Covid home office out of the box.
No problems,One person found this helpful,Linda in Florida,-,5,2020-09-18T17:59:17,Was very pleased with everything from packing  shipping  and great quality of the computer. I have not had one problem. Thank you
There is no competing with the ease of Apple when talking about computing.,One person found this helpful,Joe D.,-,5,2020-02-18T17:23:17,I love Apple when it comes to computing. Their software is efficient  error free and easy to use. Their computers perform efficiently and they virtually never freeze up. The only issue with my last Mac was that the mag safe power cord would consistently fray and the hard drive cable had to be replaced 3x over 8 years (should change every 2-3 yrs). This mac hasnt given me any problems in the first couple days. I did notice a lot of software and drivers dont seem to support the new Apple chips yet  but I have no doubt it will eventually happen.
Buy a USB port!,One person found this helpful,Jamilla Webb,-,5,2020-04-15T17:59:17,I never make reviews but I have to make one for this. I ve had this computer since March and it s June now  and I have to say  I really  really  really love my computer. It s super fast and the speakers are loud and it s everything you could want. My only issue is that there is no USB port. When I m editing I find it very difficult to use the mousepad because I can t be precise with my work the way I do with a mouse. I just bought an adapter today  and I hope it makes my editing much more easier. But all I can say is that I spent a lot of money upgrading my 2011 MacBook Pro and I decided to just buy this computer with my stimulus check and it was the best decision I ve ever made.
Does not support multiple external monitors,-,M. Wemett,-,1,2020-07-12T13:59:17,I have been on with Apple support or MacBook support many times now extremely frustrating that this thing can t get up and goingIt took a month to get to me leaving me only nine days for a return window which is crap if you ask me. It took me longer than that to figure out why it s not working with two monitors. There needs to be an exception to the one month from order date when it takes a month to get here!!! The Attorney General should be my next call
Love my new MacBookPro 2020,-,csinbryan,-,5,2020-06-18T12:59:17,Bought this as my 2012 MacBookPro was on last update and was really running slow  and could not get some app updates. The transfer of data from the old one to this one was really easy.The response is awesome.No major changes!!Love it
Great machine  average to poor battery life,2 people found this helpful,spider1256,-,5,2020-05-15T12:59:17,As with all Apple products  battery life is a huge issue. The machine does perform well and is very fast. Graphics are outstanding and easy of use is excellent. Just wished it had more battery life
Muy buen producto,2 people found this helpful,America Montalvo,-,5,2020-06-26T14:59:17,El brillo de la pantalla me gusta porque se ajusta de acuerdo a la luz que haya donde me encuentro.La batería según el uso que le doy me dura aproximadamente 12 horas.La pantalla táctil  es muy útil especialmente con el texto predictivo  también en otras actividades que realizo.
Faulty hardware,2 people found this helpful,Emre,-,1,2020-08-13T14:59:17,Faulty hardware right out of the box.. Apple could not troubleshoot remotely and return is a hassle since Amazon is not an authorized reseller.
Great purchase,One person found this helpful,Dominique,-,5,2020-07-23T17:59:17,Good choice when the one you want isn t available immediately directly from apple.
Ease of use,2 people found this helpful,Amazon Customer,-,5,2020-09-05T17:59:17,Big difference between Mac and Hp. Love my Hp but hopefully I will pick up on how to use this one better soon. Just wish it came bigger at this price. I do a lot of writing and looking forward to using this.
M1 is not ready for prime-time  in my opinion.,15 people found this helpful,Fnorgby,-,3,2020-07-02T17:54:17,There are too many baffling oddball problems -- like it won t do portrait mode on a displayLink monitor. It has problems with docking stations that ought to work just fine -- despite me turning off sleep and screen locking  when in clamshell closed mode  sometimes it won t wake up and has to be hard power-cycled or zapped to get it to boot back up. These issues are virtually nonexistent on Intel silicon of the same era/OS revision level. The problems with external monitors feel like they re reintroducing problems most vendors (INCLUDING APPLE) fixed over a decade ago.I m completely soured on M1  and have no interest in M1X. I may trade this in for a Mini. It s all but useless as portable computer because docking/undocking causes such nightmarish problems.M2 maybe  once it s been out for a year or two. Yes  I know that this is the risk of being an early-adopter. I m still going to call out its flaws even though I know I am the author of my own suffering here.Also  again not an apple problem but a me problem: I hate the touch bar and leave it completely disabled. I m clumsy and have big fingers.
Always Freezing or Crashing Programs,14 people found this helpful,Brittany,-,3,2020-09-25T15:59:17,I FINALLY  after years of my artist friends and colleagues using apple product (laptops  MacBooks  desktops) I decided I d get one as I needed a new laptop since my previous one was 10 years old. At first  I was just sad for having spent so much. I thought “this better convince me otherwise”. After having this for two months  I can say I hate it.Don t get me wrong  there s some decent features that add convenience  but I struggle to complete work in a timely manner as I have to constantly save or redo lost work. The MacBook can t consistently run (for example) Adobe InDesign  Adobe Illustrator  and one Google page. I know you re probably thinking “maybe her file size of the projects she s working on are bogging down a successful running speed and responsiveness.” That is not the case.The work I am creating at this moment in time is basic web design  typographic studies of minor levels of file work  and an occasional image that needs photoshopped.All in all  this product is a bit expensive for my liking. It s got many decent aspects  such as a finger ID to unlock easily and touchscreen bar along the top of the keyboard display. Cool. But not worth $1 300 (after tax) if it is going to prohibit my work in graphic design.
Low power ports > Peripheral devices do not always get enough power to run,11 people found this helpful,Steve Sz,-,4,2020-09-06T17:39:17,For many people this will be a great and fast notebook. If you connect devices you need to know the ports are fast but can not supply very much power. If you have software on CD/DVD  be aware that your bus powered DVD drive probably will not work. Same if you attach external storage that needs more power than a newer SSD. To fix this you need a hub / dock that is externally powered and supplies power to any device plugged into the hub.
Battery issues,21 people found this helpful,Steven Choi,-,1,2020-08-22T17:59:17,Already experiencing battery issue. Apple is directly helping out and asked to drop the laptop at the store to fix.Disappointed
Replacing My Early 2011 MBP,14 people found this helpful,Terrance Leach,-,5,2020-08-24T11:59:17,This new MBP replaces my old 2011 machine. It is lighter  much faster  very quiet and the display is gorgeous! I didn t think I would care for the Touch Bar but find myself really enjoying a feature not found on the new MacBook Air.Transferring my images  music and data was simple and quick. If I had it to do over I would by a new M1 MBP.I have heard a lot of negative comments because Apple didn t change the physical appearance of the 2020 MBP. Personally  I am quite happy that it still looks like an Apple MBP.
From Best To Worst,8 people found this helpful,Ross Minchev,-,1,2020-04-23T14:12:17,I can t even believe that I am writing this review  but this is unprecedented. After just one week of using it  I want to get rid of it. This laptop is slower than my 2015 MacBook Pro 15 inc. All this hype about the M1 chip  and when I open 20 tabs on google chrome  it s game over  the laptop starts lagging  the sound cuts  I can t even move the mouse and of course  my favorite spinning apple colored wheel is spinning forever trying to load. My CPU is at a 100% this is not what you would expect from the latest apple models  and this is out of the box laptop
Beware of being sent a Bricked MacBook,17 people found this helpful,Martin Sarafyan,-,1,2020-02-10T17:59:17,Turns out many MacBook Pro 13 inch come dead from the factory to be safe buy through apple since they can immediately swap it out with a working one immediately.
Excellent computer,10 people found this helpful,Panamax,-,5,2020-02-22T16:59:17,this is a M1 model - It is fast  it is light  it is powerful  it wakes up in seconds..... it saves me time like crazy  no longer the annoying ball.... - it replaces my old and faithful MacBook Pro late 2013 (yes! 2013) - everything works from the beginning..... in my older Mac (which I still keep just in case) I could still run everything I needed  but it was definitely much slower - the new one is great - take the op to say KUDOS to Apple! until 10 days ago I was still using a 7 years old computer  running Big Sur and every single app I needed and the only change  has been one of speed (great change by the way) - all is compatible  I just put in a CalDigit dock and do not need to buy anything else new..... - well done!
Stealing fraud and not doing the right thing.As. BusinesS,12 people found this helpful,chris,-,1,2020-09-05T17:59:17,Well last eat 3 days then turned on and off by itself repeatedly like the was rermfab well piece of junk what else wast of time and money and 150 more than other sellers u think your would pay a little more to get something better also there was a stain that would not come out on eaothsr side of the face of the keyboard areas. Again most like a remanufauterrd unit that should of been sol for half ... thanks for ripping me off
Amazing,21 people found this helpful,Amazon Customer,-,5,2020-05-15T12:59:17,Excellent battery backup and very smooth and powerful machine..
Perfect Computer for College and Campus Life!,3 people found this helpful,Dan,https://m.media-amazon.com/images/I/51I3BBS+qHL._SY300.jpg     ;     https://m.media-amazon.com/images/I/51JS2tt1V2L._SY300.jpg     ;     https://m.media-amazon.com/images/I/51QEgVGqXrL._SY300.jpg     ;     https://m.media-amazon.com/images/I/51a-gFBYi8L._SY300.jpg     ;     https://m.media-amazon.com/images/I/51chXFL9iuL._SY300.jpg     ;     https://m.media-amazon.com/images/I/51e70CWZZ5L._SY300.jpg     ;     https://m.media-amazon.com/images/I/51eaAMDW8LL._SY300.jpg     ;     https://m.media-amazon.com/images/I/611T1am8F4L._SY300.jpg     ;     https://m.media-amazon.com/images/I/61IHUaQKkIL._SY300.jpg     ;     https://m.media-amazon.com/images/I/61aUAtOv5VL._SY300.jpg,5,2020-08-24T11:59:17,Your browser does not support HTML5 video.  I was not disappointed as this was my first time buying a computer on Amazon  and here is why.The ordering experience was much easier than my last visit to an Apple store to purchase a computer. The computer arrived in two days  on time  a gift to our son who is heading to college.This space grey laptop is the perfect size and weight when on campus. It includes an audio jack and two Thunderbolt / USB 4 ports.The package also includes a charger with a cord and a straightforward setup.I like the fantastic Apple design of this laptop with the space grey casing. I m glad overall that this laptop will last up to 20 hours on a charge  has a great screen  and is more than the required memory and speed as requested by the University. Simply perfect and well worth it. Therefore I rate this product five out of five stars.
Came as expected!,12 people found this helpful,W. Liu,-,5,2020-08-22T17:59:17,I was so nervous because I ve never purchased a computer through Amazon. It arrived in great conditions! Battery was around 90% when turned on  great performance  great battery life as described  vibrant colors in the screen  very satisfied with this purchase!
Amazing,14 people found this helpful,Tinaish,https://images-na.ssl-images-amazon.com/images/I/91PiMr5MyEL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/A1biqoPwtGL._SY300.jpg,5,2020-01-11T11:59:17,I m new to mac. This machine is amazing  my transition from windows has been easy. It s very light and the battery life is incredible  I have used it for two days at times with no charging. It  does not heat up and no fan noise or anything. Super powerful!! I m also loving the touch bar adjusting volume and brightness has never been easier!
If you're a windows user  read this.,3 people found this helpful,Dylan Swartzentuber,-,5,2020-08-22T17:59:17,I am a long-time windows user. I ve had so many different windows laptops  each with their own faults. I ve always despised MacBooks because of what you hear from every person who s built a pc before:  Apple makes crappy products!!! No good to use!!!! . Ever since I got my iPad Pro a few years back  Apple has slowly dragged me back into the ecosystem by how good their products have become. With the release of the M1 macs  I was pretty interested in how well these will perform  and eventually caved and bought this MacBook Pro.I was wrong. I ve been wrong. This MacBook Pro has very good performance and has kicked ass through everything I throw at it. I like the Big Sur operating system  everything has been made super easy  and also connects to all of my other Apple devices. Being able to to text people from my MacBook is awesome. My only complaint is honestly  like everyone else  the Touch Bar. I wish I had the regular function keys like on the air. I got this one because of better battery life  and man. This laptop lasts me a WEEK. What???? My ol reliable acer laptop only lasted me 8 hours  and I thought that was good.Sorry windows fanboys. Sorry pc master race. For laptops (I will never replace my home windows desktop)  the MacBook is one of the best devices you can buy. It s great.
Excellent design and performance!,11 people found this helpful,Vignesh,https://images-na.ssl-images-amazon.com/images/I/81AX2WUamiL._SY300.jpg,5,2020-09-29T17:59:17,Quality product. Light weight and superior design. Great audio and video performance..
Nice!,4 people found this helpful,Anonymous Reviewer Dude,-,5,2020-05-15T12:59:17,I got this for $1099  which it s $1299 if you buy it from Apple  which makes no sense! It was either this or the Macbook Air for $899 (which is $999 at Apple). I got this because I ve had many Macbook Airs and wanted something different. If I had to do it again  and wanted to save money I would have gotten the Air. The difference is this has a fan  a touch bar  a better gpu  and a brighter screen for $200 more. I was worried because some people don t like the touch bar but I think it s great! And besides  you can even set the touch bar up so it s just like the old function keys you re used to  but as touch keys.There really is no competition for a Macbook. I ve tried them all  the Dells  the Surfacebooks  etc  and they re never as good as an Apple Macbook.
powering of a macbook pro M1 unreliable only after 3 weeks of use.,3 people found this helpful,Amanda Hudak,-,2,2020-03-24T12:32:17,I was excited to get the new macbook pro M1 as reviews described it as a very fast powerhouse computer. My first impression was strong. I started to play with all the features my old MacBook Pro is missing. I was excited about extending the screen to my iPad pro will be able to paint in photoshop (with Sidecar). This feature is completely underwhelming and unpractical to use (mostly due to how interface of this feature is set up). The next feature I was excited to try was installing iPad/iPhone app to MacBook Pro... Well  this works here and there  applications are crashing... again very underwhelming. Three weeks later my new MacBook Pro started having issues when plugging into the power source through thunderbolt. After I unplug it from power  the second time when plugin it wouldn t charge. I had to unplug the thunderbolt cable both from the power adapter and from a computer and plug it back to the charger first then to the computer in order for mac to charge again. I ran self-diagnostic on startup and it would freeze. Luckily I was still in the Amazon window to return this now broken computer. I don t understand how Apple machines became so unreliable. Now I m hesitant to order another Apple computer as this is the very first new computer I ever purchased turns out to be a lemon.
Faster delivery than ordering from Apple,7 people found this helpful,Chad Mitchell,-,5,2020-06-18T12:59:17,I was nervous buying a Macbook over Amazon  but the delivery was fast and required a signature. I have needed a new Macbook because I bought mine over five years ago. It is a nice computer and way faster than my old one. I was curious about the new M1 chip in the Macbook. It is a great purchase for the price since Macbooks last so long. Highly recommend.
Really Enjoying it!,5 people found this helpful,Alayahk,-,4,2020-06-18T12:59:17,I love my MacBook Pro! I had the 13 inch macbook air 2017 and I hated that thing  used it for college and i wanted to get rid of it so bad so i gave it away. I always wanted the macbook pro because i thought they were just built better and i the interface of how its designed looked way better. Finally was able to buy one and so far so good. I really hope and pray this one doesn t start going slow like how my macbook air did after a year or 2. Bought one for my friend as well and she loves hers. I mainly use it for work  school/zoom calls and a little bit of streaming. Not a gamer so battery life is something i never have to worry about. Battery life was amazing for the first 2 weeks but I can tell now the battery has been dying slightly faster but i believe it s from how much i ve been on it lately but if i put it down for a few days (most likely 2) battery life hangs in there.
Flimsy screen,3 people found this helpful,Patrick Walsh,-,1,2020-04-15T17:59:17,I left my brand new M1 Macbook pro in my car for an hour and now the screen looks like a Picasso painting. Both Amazon and Apple refuse to pay for repairs because apparently this is considered an accident rather than a manufacturer s defect  even though I bought it only two months ago. So I m out $700 to repair a two month old computer. I would heavily advise against buying one of these  because if this is considered normal rather than a manufacturer s defect  then 80 degree heat is enough to damage the screen. This means that they re essentially useless if your air conditioner goes out and you will be left with a repair bill that is half the value of the computer.
Of course I love it,One person found this helpful,juju,-,5,2020-08-24T11:59:17,this is my 3rd Macbook pro. and each time it gets better. Much thinner than my previous one  and very light weight. the only thing I don t like is that it only has the USB c  which doesn t allow charging of other devices. I had to go and get the adaptor for an additional $20. Also they don t include the extension cord anymore  which I don t mind  since I already have 2 that came with the other ones.
a student's macbook pro,One person found this helpful,Joey LH,https://images-na.ssl-images-amazon.com/images/I/71phPbNnCFL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/819PP-fhPZL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/81I52lxh1lL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/81QEWmIAnjL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/81uJ-niWmtL._SY300.jpg,5,2020-07-12T13:59:17,I purchased this for my 4yo daughter s online classes so it definitely did not disappoint. She uses Zoom an Google Classroom and these programs work flawlessly on a MBP M1. We do not plan on doing heavy tasks on this laptop  just the basic browsing  social media  video calls and online school stuff. It s pretty fast  but I find that our 2014 16  MBP retina to be the same. The battery lasts FOR DAAAAAYYYYSSSSS. A full charge lasted 4 days w/ 3 hours of daily use. Quite impressed! I know how sturdy MBP s are with our 2013 and 2014 MBP s still alive and working well  so I know I ll get our money s worth with this laptop.TLDR: Lightweight  battery for days  super fast  apps and programs work seamlessly for students.
It’s the MacBook Pro with the M1 chip  what else is there to say?,2 people found this helpful,AdderallTaco,-,5,2020-08-22T17:59:17,Coming from one of the worst MacBook Pro generations (2017) this was a breath of fresh air. Very snappy  quiet  cool  long battery life  FANTASTIC KEYBOARD (Those butterfly switches were a mess) Oh and the touchbar  I love that thing  didn t think I d use it a lot but here I am using it a lot😂 It s an amazing laptop  the only laptop I d ever recommend anyone get (besides the MacBook Air)
Powerbook Disappointing,One person found this helpful,artie,-,3,2020-09-05T17:59:17,Lacks DVD drive: no movies whilst on the road  also  all music has to be purchased. My wealth of great music CD s not accessible. Arrived fully charged. Looks nice  just not versatile enough. Steve Jobs needed at Apple. Alas.
So happy with this MacBook!,-,TroppoBella on Etsy,-,5,2020-02-18T17:23:17,The screen on my 2014 does  and I didn t;t want to send the money on a new one  but the exterior screen started giving me problems  too  and I threw in the towel. Boy  am I thrilled that I did! This little MacBook is perfect! It s even more user friendly  has amazing colors  and functions with all modern apps. I m absolutely in love with it!
Amazing Computer!!!!,2 people found this helpful,SP,-,5,2020-03-19T13:59:17,This laptop is the most luxury and professional computer I have ever owned. 10/10 would recommend to anyone in school  business  or even for personal use. The typing experience on this laptop is like nothing you have ever felt. I am very pleased!
Almost Perfect..,One person found this helpful,Kanan Adilzada,-,5,2020-07-12T13:59:17,Only downgrades:1. Screen bezzels are thick2. Keyboard is not as good as some of the windows laptops such as HP Spectre3. This Mac has incredible performance but so pitty some legendary games are only available for windows.The rest features (despite the display color gamut) are amazing and better than any other ultrabooks.So  4.5/5.
Love the screen color,-,Janet,https://m.media-amazon.com/images/I/C1bqfJ7l6mS._SY300.jpg     ;     https://m.media-amazon.com/images/I/C1gSnaK1WWS._SY300.jpg,5,2020-04-23T14:12:17,I really like my purchase of the MacBook Pro. It is super fast. The colors on the screen are bright & clear. I love the the 13 inch screen. It s the perfect size for me. Since it didn t have any usb plug ins I bought me a hub for it that has usb  hdmi  slot for memory card & it has 3.0. Love this Mac. Would recommend it.
Best Mac to Date,One person found this helpful,Lance Nguyen,-,4,2020-02-18T17:23:17,Upgraded from a 2015 Macbook Pro that has lasted me well more than 5 years in school. I expected the keyboard to be like the earlier gen macbooks; however  I was pleasantly surprised to see that they were way more raised and offered a much better tactile feedback. In addition  the battery life will easily last a day of school. The only thing I don t like about this laptop is how the M1 Chip doesn t support VM and a few other apps; but that can be changed in the future.
Amazing product,7 people found this helpful,Amazon Customer,https://images-na.ssl-images-amazon.com/images/I/91zYOToK9tL._SY300.jpg,5,2020-02-22T16:59:17,Everything came as described
It's great,8 people found this helpful,Tameka Winn,https://images-na.ssl-images-amazon.com/images/I/B1UAtKzIxnS._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/C1uyWOO1IFS._SY300.jpg,5,2020-08-13T14:59:17,It charges so fast! It s very good and you never hear the fan  i ve heard it once and that s it! Don t try to ruin ur laptop bc this is a very good macbook.
Major The screen ghosting and dead pixel issues after about 3 1/2 weeks,-,James I Reed,-,2,2020-04-15T17:59:17,Your browser does not support HTML5 video.  On the right hand side you can see a black line of dead pixels that quickly became much worse. And although it was on every window you can really see it on the graph where the image burned into the 3 week old screen that I barely used and bought specifically because it was considered the best option for trading view the program in the video. You can see. Facebook logo burnt in on the right but the whole screen was ghosting everything bad. It s just hard to see most of it. I have no idea what caused this. As it s not a 20 year old crt display with an nes left on for years. It s a brand new Liquid Retina I m sure I m not the only one to experience this but do keep in mind I was lucky and able to return because this happened one day before my 30 day window closed. My experience with apple has always been with second market items aside from my phone they are not very helpful unless you pay a very high service fee. I m sure I could have had this repaired for free but at the price and the fact that it was my very first Mac I sent it back and have no intention on owning another one. Best thing I could suggest is if you must own a Mack buy apple care they will replace it twice brand new. U may need that done. The build quality outside of the electronics is unmatched. Absolute perfection in every seam. I wish it would have worked I bolutely loved this machine until the day it broke down. Now I won t ever feel comfortable owning a new one again. I did purchase the m1 iPad instead and love it. Well my 2tb model. The 128 is not enough storage 2tb I m sure will be plenty. I think apple is a great product as long u never have any issues. If you do be ready to spend like you did the day you made your purchase.
False advertising,5 people found this helpful,Shayna,-,1,2020-03-19T13:59:17,If I could give this 0 stars I would. I bought this computer “new” however after using it for 2 weeks I realized that I have pictures on it of another family. This was clearly a used computer and falsely advertised as “new”. I paid way to much for a used computer. Do not purchase.
Worst computer I have ever purchased.,One person found this helpful,Brian Haney,-,1,2020-07-12T13:59:17,I am extremely disappointed with this machine. I bought this specifically because it had a GPU  which I thought would be beneficial for programming with data. However  the new Apple Chip is completely unworkable. None of the modern software packages for data science are compatible with the chip  rendering the machine worthless and void for its intended purpose. I will never purchase another Apple machine.
Amazing laptop but felt a little slow for some reason,One person found this helpful,Puru,-,4,2020-07-23T17:59:17,I purchased this laptop because my previous laptop (a behemoth of a gaming laptop) broke suddenly broke down. It was great  except for the fact that it felt a little slow. Maybe it is because I had downgraded from a 144hz screen to a 60hz screen  or maybe because my previous laptop was a performance monster  it just didn t feel that good. However  other than that  it is an amazing laptop. Very portable  and doesn t really heat up that much. Also  it charges super fast  therefore I could charge it for 30 min to 1 hour in the morning and go the the whole day without having to worry about charging it. Overall  it is an amazing product  however  it wasn t the one for me.
Too fragile,3 people found this helpful,Janesk,-,1,2020-03-19T13:59:17,I purchased this laptop and it dropped  but not a hard drop and the screen broke. We had to replace it and did so with an original screen. It got hit again  not hard (I swear!) and it broke again. I ve never had a laptop that s as fragile as this one.
Keep the intel!,4 people found this helpful,Rs,-,1,2020-08-24T11:59:17,Battery life and new keyboard if nice but this mac freezes a lot. When you open more than 10 tabs  when open finder  when connecting to external monitor this m1 freezes I need to constantly force quit the applications. This Macbook  pro  only  supports  one external monitor. Not a reliable laptop.
Best laptop on earth,2 people found this helpful,Henry McIntyre,https://m.media-amazon.com/images/I/B1FUMw5PNsS._SY300.jpg,5,2020-08-13T14:59:17,This is my first Apple Computer and I am blown away! I will never be going back to Windows computers again. It s a Thousand little things and quite a few big things that make Apple computers just better. I wasn t a true believer but now I am. I love this MacBook Pro! I have it hooked up to a 30 inch Apple display and it is wicked cool. And I have the Apple Magic Mouse 2 and Apple keyboard.
Pesimo. Menos de 5 meses y ya se malogró,One person found this helpful,Luis N.,-,1,2020-08-22T17:59:17,La compré en abril  pero la comencé a usar recién en mayo 2021. A comienzos de setiembre comenzó a fallar el touchbar y ese mismo día se apagó y no volvió a encender.El servicio técnico dice que es un fallo eléctrico y tendrán que cambiar varias partes  incluyendo la batería  el touch bar  el teclado  etc. Es decir  una computadora de casi 1500 requiere un mantenimiento bastante grande luego de solo 4 meses de uso.Me parece bastante mal. Obviamente  desde donde estoy es imposible comunicarse directamente con la empresa. La página web dice que siempre está ocupada y el servicio técnico hace que los clientes firmen un documento que  básicamente  sirve para que no haya opción a reclamar. Es más  si no dejo que la reparen  estoy obligado a pagarles por el diagnóstico.No puedo recomendar un producto tan caro que se estropee tan rápido.
MUST BE THE BEST MACBOOK YET!,2 people found this helpful,Lee,-,5,2020-08-24T11:59:17,This M1 Mac is a true gem! 💎 Apple really looked out for us budding students both of life and in the classroom  on a tight budget! You can really grow with this mean machine! This Mac blows me away  especially my first and last Mac being the Mac Pro 2011. Btw the MODEL NUMBER is A2338! Got this during tax free week too .. Received in 1 day with Amazon Prime! 😮‍💨🙏🏾👍🏾 p.s. I LOVE the Touch Bar! So futuristic and cool to navigate from like a space ship 🚀 I can totally see apple doing an option for all touch screen keyboard………….
